Strategy,Sharpe_base,MDD_base,CAGR_base,Vol_base,Calmar_base,Sharpe_dd,MDD_dd,CAGR_dd,Vol_dd,Calmar_dd,Avg_Exposure,Delta_Sharpe,Delta_MDD,Delta_CAGR,Delta_Calmar
blend_40_60_ls20_plus_ls30,1.493,-0.593,0.355,0.22,0.599,1.268,-0.32,0.151,0.117,0.472,0.484,-0.225,0.273,-0.204,-0.127
blend_50_50_ls20_plus_ls30,1.503,-0.604,0.366,0.225,0.607,1.344,-0.326,0.165,0.119,0.506,0.476,-0.159,0.278,-0.201,-0.101
blend_60_40_ls20_plus_ls30,1.51,-0.614,0.378,0.23,0.616,1.393,-0.328,0.175,0.121,0.533,0.469,-0.117,0.286,-0.203,-0.083
blend_70_30_ls20_plus_ls30,1.515,-0.625,0.39,0.236,0.624,1.408,-0.325,0.181,0.124,0.557,0.465,-0.107,0.3,-0.209,-0.067
ls_20pct,1.516,-0.655,0.425,0.255,0.648,1.405,-0.346,0.195,0.133,0.564,0.454,-0.111,0.309,-0.23,-0.084
ls_20pct_plus_linear,1.425,-0.611,0.296,0.195,0.484,1.282,-0.321,0.143,0.109,0.446,0.536,-0.143,0.29,-0.153,-0.038
ls_20pct_plus_pow_0.7,1.458,-0.624,0.324,0.208,0.519,1.266,-0.328,0.149,0.115,0.455,0.527,-0.192,0.296,-0.175,-0.064
ls_20pct_plus_sqrt,1.482,-0.633,0.347,0.217,0.548,1.3,-0.332,0.162,0.121,0.489,0.505,-0.182,0.301,-0.185,-0.059
ls_20pct_plus_sqrt_partial,1.52,-0.644,0.386,0.233,0.6,1.391,-0.322,0.181,0.125,0.562,0.471,-0.129,0.322,-0.205,-0.038
ls_20pct_plus_sqrt_partial_normalized,1.544,-0.655,0.426,0.25,0.65,1.411,-0.346,0.195,0.133,0.564,0.454,-0.133,0.309,-0.231,-0.086
ls_30pct,1.418,-0.549,0.307,0.204,0.559,1.004,-0.322,0.115,0.116,0.356,0.54,-0.414,0.227,-0.192,-0.203
ls_30pct_plus_sqrt_partial_norm,1.451,-0.549,0.309,0.2,0.563,1.108,-0.322,0.124,0.111,0.383,0.561,-0.343,0.227,-0.185,-0.18
