Strategy,Sharpe,MDD,CAGR,Vol,Calmar
LS 20% + Sqrt Partial normalized,1.544,-0.655,0.426,0.25,0.65
LS 20% + Sqrt Partial,1.52,-0.644,0.386,0.233,0.6
LS 20%,1.516,-0.655,0.425,0.255,0.648
Blend 70/30 (LS20 + LS30),1.515,-0.625,0.39,0.236,0.624
Blend 60/40 (LS20 + LS30),1.51,-0.614,0.378,0.23,0.616
Blend 50/50 (LS20 + LS30),1.503,-0.604,0.366,0.225,0.607
Blend 40/60 (LS20 + LS30),1.493,-0.593,0.355,0.22,0.599
LS 20% + Sqrt,1.482,-0.633,0.347,0.217,0.548
LS 20% + Pow 0.7,1.458,-0.624,0.324,0.208,0.519
LS 30% + Sqrt Partial norm,1.451,-0.549,0.309,0.2,0.563
LS 20% + Linear,1.425,-0.611,0.296,0.195,0.484
LS 30%,1.418,-0.549,0.307,0.204,0.559
Blend 60/40 + Vol Target,1.27,-0.507,0.239,0.184,0.472
Blend 60/40 + Vol Target 0.15,1.27,-0.507,0.239,0.184,0.472
Blend 60/40 + Vol Target 0.18,1.264,-0.574,0.285,0.219,0.496
Blend 60/40 + Vol Target 0.2,1.256,-0.614,0.313,0.242,0.51
Blend 60/40 + Vol Target 0.25,1.244,-0.69,0.374,0.292,0.542
LS 20% + Sqrt Partial normalized_neutralize,1.098,-0.645,0.253,0.231,0.393
LS 30% + Sqrt Partial norm + neut,1.06,-0.558,0.201,0.191,0.361
