Strategy,Sharpe_base,MDD_base,CAGR_base,Calmar_base,Sharpe_smooth_dd,MDD_smooth_dd,CAGR_smooth_dd,Calmar_smooth_dd,Avg_Exposure
blend_40_60_ls20_plus_ls30,1.493,-0.593,0.355,0.599,1.787,-0.452,0.349,0.772,0.788
blend_50_50_ls20_plus_ls30,1.503,-0.604,0.366,0.607,1.808,-0.461,0.362,0.785,0.786
blend_60_40_ls20_plus_ls30,1.51,-0.614,0.378,0.616,1.824,-0.469,0.374,0.798,0.783
blend_70_30_ls20_plus_ls30,1.515,-0.625,0.39,0.624,1.838,-0.477,0.387,0.81,0.781
ls_20pct,1.516,-0.655,0.425,0.648,1.86,-0.502,0.424,0.845,0.773
ls_20pct_plus_linear,1.425,-0.611,0.296,0.484,1.729,-0.467,0.297,0.636,0.798
ls_20pct_plus_pow_0.7,1.458,-0.624,0.324,0.519,1.773,-0.477,0.325,0.682,0.791
ls_20pct_plus_sqrt,1.482,-0.633,0.347,0.548,1.805,-0.484,0.348,0.718,0.786
ls_20pct_plus_sqrt_partial,1.52,-0.644,0.386,0.6,1.852,-0.493,0.386,0.783,0.779
ls_20pct_plus_sqrt_partial_normalized,1.544,-0.655,0.426,0.65,1.881,-0.502,0.424,0.846,0.773
ls_30pct,1.418,-0.549,0.307,0.559,1.663,-0.42,0.299,0.711,0.797
ls_30pct_plus_sqrt_partial_norm,1.451,-0.549,0.309,0.563,1.691,-0.42,0.3,0.714,0.796
